5607
348	2810	1	0	0
2812	3744	1	1	1
3745	5031	1	2	2
5245	5541	1	3	3
5695	6471	2	4	4
6541	7971	2	5	5
8319	9203	1	6	6
9318	9905	1	7	7
9940	10506	2	8	8
10655	11368	2	9	9
11394	11798	2	10	10
12175	14091	1	11	11
14180	15310	1	12	12
15414	15566	2	13	13
16152	17318	1	14	14
17378	18283	1	15	15
18322	19281	2	16	16
19294	20439	2	17	17
20872	21993	2	18	18
22214	22330	1	19	19
22776	22961	2	20	20
23422	24309	1	21	21
24352	27168	1	22	22
27168	27662	1	23	23
27750	28199	1	24	24
28201	29151	1	25	25
29217	30131	1	26	26
30298	31119	1	27	27
31398	31535	1	28	28
31575	32723	1	29	29
32741	35962	1	30	30
36223	36618	1	31	31
36704	37294	2	32	32
37300	38193	2	33	33
38194	39747	2	34	34
39821	41038	2	35	35
41167	42309	2	36	36
42340	43854	2	37	37
44328	45098	1	38	38
45113	46054	1	39	39
46105	47391	1	40	40
47388	47675	1	41	41
47734	49065	1	42	42
49230	49703	1	43	43
49696	51558	1	44	44
51639	52229	1	45	45
52307	53149	2	46	46
53156	53533	2	47	47
53536	54357	2	48	48
54354	55343	2	49	49
55343	56629	2	50	50
56682	59036	2	51	51
59291	60106	1	52	52
60223	60882	2	53	53
60894	63800	2	54	54
63965	66316	2	55	55
66391	67086	2	56	56
67255	68757	2	57	57
68768	70468	2	58	58
70756	71685	1	59	59
71771	72535	1	60	60
72649	73347	2	61	61
73331	74941	2	62	62
74917	75900	2	63	63
75944	76063	2	64	64
76064	77719	2	65	65
77808	77939	1	66	66
78041	79219	1	67	67
79268	79873	2	68	68
79884	81284	2	69	69
81287	82378	2	70	70
82378	83949	2	71	71
84589	84711	1	72	72
84788	85732	1	73	73
85768	85890	2	74	74
85865	85990	1	75	75
86074	87774	1	76	76
87777	88268	1	77	77
88320	88451	1	78	78
88448	89452	1	79	79
90054	90512	1	80	80
90514	91455	1	81	81
91452	91817	1	82	82
91833	93599	1	83	83
93586	95073	1	84	84
95070	96428	1	85	85
96422	97504	1	86	86
97507	98823	1	87	87
98823	100067	1	88	88
100088	101131	1	89	89
101185	102660	1	90	90
102653	103573	1	91	91
103575	104405	1	92	92
104402	105664	1	93	93
105725	106876	1	94	94
106977	107894	1	95	95
107866	108036	2	96	96
108050	108637	1	97	97
108699	111404	1	98	98
111464	111853	1	99	99
111953	112150	2	100	100
112160	112903	2	101	101
112903	113523	2	102	102
113748	114791	1	103	103
114826	116028	2	104	104
116018	117403	2	105	105
117413	117853	2	106	106
118056	118949	2	107	107
119037	119588	1	108	108
119585	120439	1	109	109
120482	121852	2	110	110
121935	122066	1	111	111
122396	123160	1	112	112
123157	123339	2	113	113
123321	125984	1	114	114
125999	127891	1	115	115
128183	129640	1	116	116
129711	131468	2	117	117
131901	134420	1	118	118
134650	134958	1	119	119
134996	135790	2	120	120
135806	136672	2	121	121
136778	137125	2	122	122
137291	138841	1	123	123
138888	141278	2	124	124
141484	142020	1	125	125
142061	142723	2	126	126
142832	143758	1	127	127
143758	144525	1	128	128
144630	145070	1	129	129
145134	146363	1	130	130
146367	146747	2	131	131
146715	146900	1	132	132
147021	147923	1	133	133
147997	148848	2	134	134
148860	149654	2	135	135
149767	151041	2	136	136
151094	151690	2	137	137
151717	152319	2	138	138
152334	152531	2	139	139
152782	152907	1	140	140
152920	155520	2	141	141
155555	156247	2	142	142
156275	156388	1	143	143
156400	156984	2	144	144
157220	157348	1	145	145
157354	157833	2	146	146
157830	159194	2	147	147
159287	160213	2	148	148
160250	160705	2	149	149
160883	161587	2	150	150
161602	162132	2	151	151
162206	164635	1	152	152
164831	167365	1	153	153
167430	167564	2	154	154
167585	169828	1	155	155
169879	170676	1	156	156
