feature_id baseMean log2FoldChange lfcSE stat pvalue padj
FBgn0010097 108.555449646765 0.993176661370012 0.215979747035377 4.59847126873119 4.25602394123469e-06 0.000102063310258642
FBgn0016075 35789.9472761994 0.468180402368843 0.101818187836588 4.59820010861166 4.26156578873265e-06 0.000102063310258642
FBgn0032005 4051.8458752874 -0.416561910790063 0.0905910561044119 -4.59826751892537 4.26018744186981e-06 0.000102063310258642
FBgn0037678 35.3320883204162 1.60955902280916 0.34997518898861 4.59906608654346 4.24389150302953e-06 0.000102063310258642
FBgn0027865 407.369133188925 0.702121002848607 0.152914842912783 4.59158175540273 4.39899255330409e-06 0.000105061175910945
FBgn0004197 1275.30681422343 -0.481110258880799 0.104902867900471 -4.58624505230175 4.51288880478226e-06 0.000107481968367231
FBgn0001257 8089.78625401114 0.644654337575939 0.140650820074486 4.58336707339882 4.57547790065924e-06 0.000108670768754162
FBgn0011016 1740.18407925731 0.484001941982379 0.105626065554151 4.58222068050283 4.60064004967131e-06 0.000108966540844977
FBgn0035020 282.76912732819 -0.772619773545152 0.168736427840243 -4.57885581337929 4.67526327501439e-06 0.000110177520417023
FBgn0085403 215.716806916436 0.928785309066477 0.202846597672809 4.57875714812138 4.67746879307166e-06 0.000110177520417023
FBgn0035001 8222.50042671202 -0.430324009044795 0.0940010659510383 -4.57786307730739 4.69749992839867e-06 0.000110346203797507
FBgn0024250 391.703169039117 -0.713328747459038 0.156231242776689 -4.56585209706513 4.97469436145242e-06 0.000116538331844516
FBgn0022338 1046.77585288362 -0.473486358147887 0.103872068995472 -4.55836070973543 5.1554438662121e-06 0.000120443530541969
FBgn0011259 264.921434340109 0.764818468606171 0.168338062137516 4.54334841980886 5.53676231222014e-06 0.000129000543654825
FBgn0041180 8880.21030191753 -0.441609584395173 0.0972252069536573 -4.54213056708296 5.56885308747034e-06 0.000129396602634067
FBgn0011823 5710.88301127364 0.422862876662933 0.0933776422972394 4.52852381212279 5.9397188465375e-06 0.000137640944297872
FBgn0033362 128.993178113686 -0.907472331111084 0.200610918103099 -4.52354408071006 6.0812646907795e-06 0.00014054114139823
FBgn0035523 47.9047895792265 1.60925975784406 0.356125181508891 4.51880361569962 6.21900445798668e-06 0.000143338022104241
