baseMean log2FoldChange lfcSE stat pvalue padj
FBgn0011016 1740.18412265824 0.458299573040951 0.0997770442115591 4.59323661732462 4.36423739488445e-06 0.000103222653522101
FBgn0041180 8880.30521294992 -0.423806128073293 0.0923452646171521 -4.58936502949362 4.44596361122933e-06 0.000104865951623541
FBgn0085403 215.71690690768 0.776901831839562 0.169365953032719 4.58711929952932 4.49403902789211e-06 0.00010570868724399
FBgn0004197 1275.310281904 -0.454779313651025 0.0992367468676903 -4.58277128186568 4.58853841502644e-06 0.000107635797012209
FBgn0035020 282.775795201525 -0.680490655192919 0.148547386208394 -4.5809668723371 4.62831161051141e-06 0.000108272142101636
FBgn0022338 1046.79162112979 -0.450209576196292 0.098416388353873 -4.57453868940492 4.77270409928303e-06 0.000111345756125508
FBgn0011823 5710.87915126579 0.406623256012137 0.0889724800660882 4.57021379768328 4.87226898686035e-06 0.000113156779420899
FBgn0024250 391.710014844428 -0.639181863511035 0.139881472630464 -4.56945334854753 4.8899799562874e-06 0.000113156779420899
FBgn0025836 93.7272560262464 -0.842926869986567 0.184464963662894 -4.56957707983505 4.88709404283631e-06 0.000113156779420899
FBgn0036560 18.8948093435622 1.03818773849482 0.227609700894246 4.56126313780094 5.0846812095754e-06 0.000117345122685673
FBgn0038545 81.9813572113352 0.854577978839757 0.18749544950124 4.55785983666823 5.16775042323744e-06 0.000118941610547739
FBgn0011259 264.921325526995 0.673351141749203 0.148254739719285 4.54185237533834 5.57620846242374e-06 0.00012799865108652
FBgn0027865 407.372555044915 0.623204910369637 0.137314401812857 4.53852547250643 5.66489537299556e-06 0.000129686722416011
FBgn0011710 2572.23238150938 0.382539304827446 0.0845462124787345 4.52461788189109 6.0504722067008e-06 0.000138144381423393
FBgn0035523 47.9043767125629 0.996009277115163 0.220160268970904 4.52401916917532 6.06762253015202e-06 0.000138167510912664
FBgn0261258 1991.0557257656 0.552898385027368 0.122380933430218 4.51784742549485 6.24714717957933e-06 0.000141878180773364
FBgn0011674 111.519325414977 0.75692919701449 0.167939837076231 4.50714500021163 6.57057337857511e-06 0.000148828701765503
FBgn0028490 8218.91417149565 -0.435599964550578 0.097000231390475 -4.49071057157656 7.09859569535353e-06 0.000160364581381575
FBgn0036641 223.179359324885 0.640929573834349 0.143036981696897 4.48086618041558 7.43407142408313e-06 0.000167501367192105
FBgn0259110 654.097972037465 -0.503291625262077 0.112338902479346 -4.48011876700156 7.46015162475024e-06 0.000167647816827064
FBgn0033446 81.5473124726477 -0.850597651791448 0.189923610502461 -4.47863037955686 7.51234815191312e-06 0.000168378860933718
FBgn0033362 128.99299329468 -0.752484303788853 0.168229984780101 -4.47294996057006 7.71478358080293e-06 0.000172015565153215
FBgn0050035 1302.7918529206 0.485762443990597 0.108591742485364 4.47329081266069 7.70249083085884e-06 0.000172015565153215
FBgn0038256 1075.95128072759 -0.581802660467059 0.130215235147985 -4.46800760145971 7.89515010611439e-06 0.000175579935606627
FBgn0015795 2076.32485936338 -0.432017162152131 0.0968166076174708 -4.46222164547493 8.11142600871191e-06 0.000179263425161082
FBgn0034694 413.590522332951 -0.556257997871751 0.124668399614936 -4.46190052643549 8.12359366532352e-06 0.000179263425161082
FBgn0260960 3027.89143523168 -0.394996952707228 0.0885103600833077 -4.46271998368834 8.09257775578915e-06 0.000179263425161082
FBgn0000447 619.766935722834 0.498669654531925 0.111829533015133 4.45919464283592 8.22681866884668e-06 0.000181074605251068
FBgn0041604 322.124924053231 0.548498130549256 0.123092353416194 4.45598865670154 8.35074476113098e-06 0.000183330965755906
FBgn0259714 117.023355119578 -0.822321405493361 0.184599468351953 -4.45462499342383 8.40399572356017e-06 0.000184028162110287
FBgn0032436 17.2791286030273 1.00825080356671 0.226469350739449 4.45204086237125 8.50579740930739e-06 0.000185782238312474
FBgn0011606 1771.58614826304 0.423444781790445 0.0953966699536936 4.43877948775349 9.04704482966769e-06 0.000196321437694455
FBgn0029002 1587.72811315595 0.956589208261654 0.215518881415882 4.43854015006575 9.05710907373392e-06 0.000196321437694455
FBgn0031049 461.361904390034 0.669949101344912 0.150914408212469 4.43926533775163 9.02664749884414e-06 0.000196321437694455
FBgn0261546 28.1216311807739 -1.00400911473636 0.226275024315213 -4.43711858069553 9.11710744959957e-06 0.000197122914099676
FBgn0039494 2210.15129018691 -0.421353021796386 0.0950879178614088 -4.43119411248977 9.37126800445913e-06 0.000202107800136471
FBgn0039651 74.2280666451171 0.844021791328265 0.190580509269842 4.42868892816954 9.48076481830526e-06 0.00020395554867922
FBgn0013548 806.920468626301 -0.486071701065948 0.109897326012662 -4.4229620383115 9.73568528562919e-06 0.000208914630114178
FBgn0051856 84.5636456296641 0.797167655320231 0.180277060077101 4.42190290311646 9.78354232953405e-06 0.000209416723563676
FBgn0046763 2202.97976927138 -0.402887102202249 0.0911935648180408 -4.41793346938605 9.96490821092324e-06 0.000212766942897568
FBgn0027590 463.783287375401 -0.521343718453906 0.118035219541628 -4.41684880562315 1.001502308867e-05 0.000212775751079882
FBgn0030362 6606.67865150402 -0.421953721079753 0.0955306602202191 -4.41694551369223 1.00105451155413e-05 0.000212775751079882
FBgn0000490 200.714847330613 0.720329380262142 0.163214576583119 4.41338877532978 1.01765010720492e-05 0.000215138770812062
FBgn0027843 742.966537243545 0.538427235238473 0.121996379185661 4.41346898024788 1.01727299539422e-05 0.000215138770812062
FBgn0086358 1451.9865818431 -0.448053254620193 0.101567819392069 -4.41137022830658 1.02718510274182e-05 0.00021661967610038
FBgn0031012 939.461653373582 -0.450685086384005 0.102181171514873 -4.41064708597908 1.03062171648106e-05 0.000216810396474468
FBgn0051361 1344.44828946582 0.560829058254371 0.127437734738254 4.40080843720476 1.07848306186204e-05 0.000226322842540755
FBgn0020618 28109.9426196792 -0.432395748468327 0.0983540901795594 -4.39631689621577 1.10103156345996e-05 0.000230489785974185
FBgn0261545 1657.63105456267 -0.511402498935363 0.116391475383744 -4.39381404221627 1.11379098999308e-05 0.000232592157471238
FBgn0002609 43.2561523172707 -0.953761283275368 0.217287452676094 -4.3893987965201 1.13664459737216e-05 0.000235640461082335
FBgn0029608 636.639779379606 -0.527754804999377 0.12021830354015 -4.38997049083396 1.13366043862951e-05 0.000235640461082335
FBgn0036752 5872.34552638993 0.467753808184668 0.106552488547199 4.38989097826157 1.134075034128e-05 0.000235640461082335
FBgn0052813 166.039089943404 -0.67260344809372 0.153779123745163 -4.37382807050152 1.22086543919792e-05 0.000252489127787745
FBgn0035710 17.3494517322533 0.988069148275689 0.226030416085369 4.3713990594191 1.23452921303461e-05 0.000254699737879575
FBgn0050085 2469.13699619427 -0.415304448821277 0.0950909400966674 -4.36744497844997 1.25708450489527e-05 0.000258729748339263
FBgn0250829 76.2531308350427 0.88644601298194 0.203254456644603 4.36126236844056 1.29314189637636e-05 0.000265512731817131
FBgn0003507 5589.57805287097 -0.413708990883081 0.0949604696293173 -4.35664432261144 1.32071620819473e-05 0.000270513378977779
FBgn0052311 1440.02078304185 -0.543605486076562 0.124790895439629 -4.35613098344619 1.32381576491111e-05 0.000270513378977779
FBgn0030662 712.535895926295 0.474156925719912 0.108983338977602 4.35072856243978 1.35685935949053e-05 0.000276554439603685
FBgn0033448 826.35086810209 -0.522204459138727 0.120040169774612 -4.35024758894643 1.35983904547012e-05 0.000276554439603685
FBgn0010314 348.225034919801 0.577034891259751 0.132673577248731 4.34928267727304 1.36583561606874e-05 0.000277115747506648
FBgn0031688 30.8034282343386 0.972197365332259 0.223589177609331 4.34814142494384 1.37296063958348e-05 0.000277902813146897
FBgn0032156 1439.21310336495 -0.39187294381291 0.0901363483290138 -4.34755735147495 1.37662080636237e-05 0.000277986493964024
FBgn0032420 134.444132222651 0.697499538018531 0.160525961743256 4.34508867253576 1.3921941382666e-05 0.000280469793219733
FBgn0035173 518.570117221753 0.496059365877593 0.114319968446883 4.33921888377775 1.42990049423976e-05 0.000287389859898611
FBgn0028397 353.993833264944 -0.633574120659423 0.146369318560775 -4.32859923711644 1.50060713833812e-05 0.0003008945742026
