5607
CCQ26880	348	2810	2810	1	1	0
CCQ26881	2812	3744	2810	1	1	1
CCQ26882	3745	5031	3744	1	1	2
CCQ26883	5245	5541	5031	1	1	3
CCQ26884	5695	6471	5541	2	1	4
CCQ26885	6541	7971	6471	2	1	5
CCQ26886	8319	9203	7971	1	1	6
CCQ26887	9318	9905	9203	1	1	7
CCQ26888	9940	10506	9905	2	1	8
CCQ26889	10655	11368	10506	2	1	9
CCQ26890	11394	11798	11368	2	1	10
CCQ26891	12175	14091	11798	1	1	11
CCQ26892	14180	15310	14091	1	1	12
CCQ26893	15414	15566	15310	2	1	13
CCQ26894	16152	17318	15566	1	1	14
CCQ26895	17378	18283	17318	1	1	15
CCQ26896	18322	19281	18283	2	1	16
CCQ26897	19294	20439	19281	2	1	17
CCQ26898	20872	21993	20439	2	1	18
CCQ26899	22214	22330	21993	1	1	19
CCQ26900	22776	22961	22330	2	1	20
CCQ26901	23422	24309	22961	1	1	21
CCQ26902	24352	27168	24309	1	1	22
CCQ26903	27168	27662	27168	1	1	23
CCQ26904	27750	28199	27662	1	1	24
CCQ26905	28201	29151	28199	1	1	25
CCQ26906	29217	30131	29151	1	1	26
CCQ26907	30298	31119	30131	1	1	27
CCQ26908	31398	31535	31119	1	1	28
CCQ26909	31575	32723	31535	1	1	29
CCQ26910	32741	35962	32723	1	1	30
CCQ26911	36223	36618	35962	1	1	31
CCQ26912	36704	37294	36618	2	1	32
CCQ26913	37300	38193	37294	2	1	33
CCQ26914	38194	39747	38193	2	1	34
CCQ26915	39821	41038	39747	2	1	35
CCQ26916	41167	42309	41038	2	1	36
CCQ26917	42340	43854	42309	2	1	37
CCQ26918	44328	45098	43854	1	1	38
CCQ26919	45113	46054	45098	1	1	39
CCQ26920	46105	47391	46054	1	1	40
CCQ26921	47388	47675	47391	1	1	41
CCQ26922	47734	49065	47675	1	1	42
CCQ26923	49230	49703	49065	1	1	43
CCQ26924	49696	51558	49703	1	1	44
CCQ26925	51639	52229	51558	1	1	45
CCQ26926	52307	53149	52229	2	1	46
CCQ26927	53156	53533	53149	2	1	47
CCQ26928	53536	54357	53533	2	1	48
CCQ26929	54354	55343	54357	2	1	49
CCQ26930	55343	56629	55343	2	1	50
CCQ26931	56682	59036	56629	2	1	51
CCQ26932	59291	60106	59036	1	1	52
CCQ26933	60223	60882	60106	2	1	53
CCQ26934	60894	63800	60882	2	1	54
CCQ26935	63965	66316	63800	2	1	55
CCQ26936	66391	67086	66316	2	1	56
CCQ26937	67255	68757	67086	2	1	57
CCQ26938	68768	70468	68757	2	1	58
CCQ26939	70756	71685	70468	1	1	59
CCQ26940	71771	72535	71685	1	1	60
